Recipes,Type,Ingredients,Favorites,URL
Punakaali-bao buns,Main Course,"Punakaali (kotimainen) (https://app.notion.com/p/Punakaali-kotimainen-2f55c35c29d080feaa86c8ecb5a9f0d2?pvs=21), Lime (https://app.notion.com/p/Lime-2f55c35c29d080b1850ad0d4b8cb160e?pvs=21), Kidney beans (https://app.notion.com/p/Kidney-beans-2f55c35c29d080238a20cc1238f2a508?pvs=21), Coriander (https://app.notion.com/p/Coriander-2f55c35c29d080998391dd6271449a1a?pvs=21), Red onion (kotimainen) (https://app.notion.com/p/Red-onion-kotimainen-2f55c35c29d080e99fcedc89f8d5a553?pvs=21), Other unusual (https://app.notion.com/p/Other-unusual-2f15c35c29d080f5992ed0c9de7d5951?pvs=21), Apple cider vinegar (https://app.notion.com/p/Apple-cider-vinegar-2f55c35c29d080adb1b4f063e903c8d1?pvs=21)",No,https://satokausi.fi/pinkit-bao-bun-sampylat/
Shakshuka,"Breakfast, Lunch, Main Course","Eggs (https://app.notion.com/p/Eggs-2f15c35c29d0810a9d34cef9c6bb558a?pvs=21), Feta (https://app.notion.com/p/Feta-2f15c35c29d080a3a5e5e15abcdf7097?pvs=21)",Yes,https://www.k-ruoka.fi/reseptit/tomaatti-kananmunapannu-eli-shakshuka
Sienitäyte tacoihin,"Main Course, Side Dish","Osterivinokas (https://app.notion.com/p/Osterivinokas-2f75c35c29d08002a972caaf1c435445?pvs=21), Tomaattipyree (https://app.notion.com/p/Tomaattipyree-2f75c35c29d0801bbfb1ddac592bfd1e?pvs=21), Honey (https://app.notion.com/p/Honey-2f75c35c29d080bd9c24e426d5fdd501?pvs=21), Soy sauce (https://app.notion.com/p/Soy-sauce-2f75c35c29d080a58621d0e171003936?pvs=21), Spices (https://app.notion.com/p/Spices-2f75c35c29d0800d82e2ce83f89dd59f?pvs=21)",No,https://yhteishyva.fi/reseptit/tacot-sienitaytteella/7GQv11U2iROmzXoDwwIjso
Suppilovahveropasta,Main Course,"Suppilovahvero (https://app.notion.com/p/Suppilovahvero-2fc5c35c29d080e5ab34cc72744e74b6?pvs=21), Onion (yellow, kotimainen) (https://app.notion.com/p/Onion-yellow-kotimainen-2f75c35c29d080b3ac55c2e22688765d?pvs=21), Vehnäjauho (https://app.notion.com/p/Vehn-jauho-2f65c35c29d080d0b279d725cd33b99b?pvs=21), Pasta (https://app.notion.com/p/Pasta-2f15c35c29d081e1ab56edf33a0024a8?pvs=21), Cream (https://app.notion.com/p/Cream-2f15c35c29d081a8bb51e0158295fc9d?pvs=21), Other unusual (https://app.notion.com/p/Other-unusual-2f15c35c29d080f5992ed0c9de7d5951?pvs=21)",No,https://www.k-ruoka.fi/reseptit/suppilovahveropasta
Tacos,"Lunch, Main Course",Tortillas (https://app.notion.com/p/Tortillas-2f65c35c29d080109d6dd7fbbc0d6a05?pvs=21),Yes,
Täyteläinen maapähkinäcurry,Main Course,Tofu (https://app.notion.com/p/Tofu-2f15c35c29d080b2a365d9b2b845d750?pvs=21),No,https://www.k-ruoka.fi/reseptit/taytelainen-maapahkinacurry
Tonnikala-papusalaatti,"Light, Main Course, Salad",,No,https://www.soppa365.fi/reseptit/arjen-nopeat-salaatit/tonnikala-papusalaatti
Uunifeta-parsapasta,Main Course,"Parsa (https://app.notion.com/p/Parsa-3355c35c29d08064adf4e3592b6ea877?pvs=21), Feta (https://app.notion.com/p/Feta-2f15c35c29d080a3a5e5e15abcdf7097?pvs=21), Lemon (https://app.notion.com/p/Lemon-2f15c35c29d0812299a7cfb2425fbebc?pvs=21), Pasta (https://app.notion.com/p/Pasta-2f15c35c29d081e1ab56edf33a0024a8?pvs=21), Lime (https://app.notion.com/p/Lime-2f55c35c29d080b1850ad0d4b8cb160e?pvs=21)",No,https://www.k-ruoka.fi/reseptit/uunifeta-parsapasta
Viherpippurilohi ja fenkolimuhennos,Main Course,"Salmon (https://app.notion.com/p/Salmon-2f15c35c29d0818dac32cc6c5fc8e5ec?pvs=21), Fenkoli (https://app.notion.com/p/Fenkoli-2f15c35c29d0805d90d0d5c7157aff99?pvs=21), Red onion (kotimainen) (https://app.notion.com/p/Red-onion-kotimainen-2f55c35c29d080e99fcedc89f8d5a553?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Lemon (https://app.notion.com/p/Lemon-2f15c35c29d0812299a7cfb2425fbebc?pvs=21)",No,https://www.k-ruoka.fi/reseptit/viherpippurilohi-ja-fenkolimuhennos
Yrttinen uunitofu,Main Course,"Tofu (https://app.notion.com/p/Tofu-2f15c35c29d080b2a365d9b2b845d750?pvs=21), Lemon (https://app.notion.com/p/Lemon-2f15c35c29d0812299a7cfb2425fbebc?pvs=21), Avocado (https://app.notion.com/p/Avocado-2f15c35c29d0817fb402f5167fa6e738?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Punakaali (kotimainen) (https://app.notion.com/p/Punakaali-kotimainen-2f55c35c29d080feaa86c8ecb5a9f0d2?pvs=21), Green beans (https://app.notion.com/p/Green-beans-3205c35c29d08004837fd50cdddc2dbe?pvs=21), Other unusual (https://app.notion.com/p/Other-unusual-2f15c35c29d080f5992ed0c9de7d5951?pvs=21)",No,https://www.k-ruoka.fi/reseptit/yrttinen-uunitofu
