Ingredients,Category,Favorites,Inventory,Recipes,Season,Shopping List
Soy sauce,,No,,Sienitäyte tacoihin (https://app.notion.com/p/Sienit-yte-tacoihin-2f75c35c29d08088b1deeb88fbe24b08?pvs=21),,No
Spices,,No,,Sienitäyte tacoihin (https://app.notion.com/p/Sienit-yte-tacoihin-2f75c35c29d08088b1deeb88fbe24b08?pvs=21),,No
Noodles,,No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),,No
Peanut butter,,No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),,No
Salottisipuli (kotimainen),Vegetables,No,Not relevant,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),"February, March",No
Red chili,,No,,"Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21), Palak paneer (https://app.notion.com/p/Palak-paneer-2f15c35c29d08037a4e2e21076c3cc02?pvs=21)",,Yes
Syrup,,No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),,No
Stevia,,No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),,No
Paksoi/bok choy (kotimainen),,No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),"August, July, June, September",No
Pear (kotimainen),Fruits,No,Not relevant,,"February, March",No
Papaya,Fruits,No,,,"February, March",No
Mango,Fruits,No,Not relevant,,"February, March",No
Mandarin,Fruits,No,Not relevant,,"April, February, March",No
Pineapple,Fruits,No,Not relevant,,"April, February, March",No
Latva- ja maa-artisokka,Vegetables,No,Not relevant,,February,No
Kelta- ja kaurajuuri (kotimainen),"Root vegetable, Vegetables",No,,,"April, February, March",No
Juuri- ja mukulaselleri (kotimainen),"Root vegetable, Vegetables",No,,,"February, March",No
Suppilovahvero,Mushrooms,No,Not relevant,Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21),"November, October, September",No
Hummus,,No,,Hummuspasta (https://app.notion.com/p/Hummuspasta-3095c35c29d080b89f8dd93f31d516f3?pvs=21),,No
New Ingredient,,No,,,,No
Broccoli,"Cabbage, Root vegetable, Vegetables",No,,,February,No
Piparjuuri (kotimainen),"Root vegetable, Vegetables",No,Not relevant,,"April, March",No
Flour,,No,,Naan (https://app.notion.com/p/Naan-31b5c35c29d08027b0e5e969d5cafef1?pvs=21),,No
Kuivahiiva,,No,,Naan (https://app.notion.com/p/Naan-31b5c35c29d08027b0e5e969d5cafef1?pvs=21),,No
Green beans,,No,,Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21),,No
Härkäpapu,,No,,,,No
Kevätsipuli,,No,,,,No
Ohra,,No,,Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21),,No
Other mushroom,,No,,Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21),,No
Broth,,No,,Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21),,No
Rypsiöljy,,No,,Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21),,No
Cream cheese,,No,,"Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21), Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21)",,No
Lentils,,No,,Intialainen linssikeitto (https://app.notion.com/p/Intialainen-linssikeitto-32c5c35c29d080ed8fd6eefd64726c05?pvs=21),,No
Tomaattimurska,,No,,"Intialainen linssikeitto (https://app.notion.com/p/Intialainen-linssikeitto-32c5c35c29d080ed8fd6eefd64726c05?pvs=21), Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21)",,No
Korvasieni (myrkyllinen!),Mushrooms,No,Not relevant,,April,No
Suippopaprika (kotimainen),Vegetables,No,Not relevant,,April,No
Parsa,Vegetables,No,Low,Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21),April,No
Varhaisparsakaali,,No,Not relevant,,April,No
Cashew,,No,,Pesto (A ei tykännyt) (https://app.notion.com/p/Pesto-A-ei-tyk-nnyt-3a45c35c29d08061b55ac7980d247e21?pvs=21),,No
Cauliflower,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Radish,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Nippusipuli,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Kasvisliemikuutio,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Peas,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Sulatejuusto,,No,,Kesäkeitto (https://app.notion.com/p/Kes-keitto-3a45c35c29d0808bbe78f1f46e41bf44?pvs=21),,No
Eggplant,,No,,Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21),,No
Sunflower seeds,,No,,"Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21), Kasvissosekeitto (https://app.notion.com/p/Kasvissosekeitto-3b55c35c29d080479aa8fa31bda0bb40?pvs=21)",,No
